t2	2:3	ooxxxx : oxoxxo
t1	4:3	oooxo : oooxx
t1	2:0	oxox- : xxxx-
t1	1:0	xxoxx : xxxxx
t1	2:1	oxxox : xxoxx
t1	2:1	xoxxo : oxxxx
t2	1:2	xxoxx : xxoo-
t1	2:1	oxxxxxxxo : xoxxxxxxx
t2	1:3	xoxx- : xooo-
t2	0:2	xxxx- : xoo--
t1	3:2	ooxxxo : xooxxx
t2	0:2	xxxx- : xoxo-
t1	3:1	oxoxo : xoxx-
t1	2:0	xxoxo : xxxx-
t2	0:2	xxxx- : xxoo-
t2	0:1	xxxxx : xoxx-
t1	3:2	oxxxoo : ooxxxx
t1	4:2	xoooo : xoxo-
t1	2:1	xxxxoxxo : xoxxxxxx
t1	3:0	ooxo- : xxx--
t1	2:1	xxxxoxxxxo : xxxoxxxxxx
t2	0:1	xxxxx : xxox-
t2	1:2	xxoxx : oxxo-
t2	2:3	oxoxxx : xoxoxo
t1	2:1	ooxxx : xxxox
t2	1:2	xxxxox : xxxxoo
t1	2:1	xooxx : oxxxx
t1	3:0	xooo- : xxx--
t1	2:1	xoxox : xxxox
t1	1:0	xoxxx : xxxxx
t2	0:1	xxxxx : xxox-
t1	3:2	ooxox : xoxox
t1	2:0	xoxxo : xxxx-
t1	2:1	xoxxxo : oxxxxx
t2	0:1	xxxxx : xxxo-
t1	4:1	oooo- : xox--
t1	3:1	ooxxo : oxxx-
t2	2:3	xxoxxoxx : xoxxxoxo
t2	1:2	oxxxx : xxoo-
t1	3:1	xxooo : xoxx-
t1	2:1	oxxox : xxxox
t1	2:0	oxox- : xxxx-
t2	0:1	xxxxx : xoxx-
t2	0:1	xxxxx : xxxxo
t1	2:1	oxxxo : xoxxx
t2	1:2	oxxxx : xxxoo
t1	2:1	xxxxoo : xxxxox
t2	0:2	xxxx- : oxo--
t2	2:4	ooxx- : oooo-
t2	0:2	xxxx- : xoo--
t2	1:2	xxxxo : xxxoo
t1	3:1	ooox- : xoxx-
t2	2:3	ooxxx : oxoxo
