t2	2:3	xoxoxx : xxooxo
t2	2:3	xxooxxx : oxoxxxo
t1	2:0	xoxo- : xxxx-
t2	3:4	xooox : oooo-
t2	2:3	xooxx : xooxo
t2	0:2	xxxx- : oox--
t2	1:2	xoxxx : xxxoo
t2	1:3	xxxo- : ooo--
t1	3:1	xooxo : oxxx-
t1	3:1	xooo- : xoxx-
t1	3:0	xooo- : xxx--
t1	3:0	oxoo- : xxx--
t1	2:0	oxxo- : xxxx-
t1	4:3	xxooxoo : xxooxox
t1	4:0	oooo- : xxx--
t2	2:3	xoxox : ooxo-
t1	4:2	oooo- : ooxx-
t2	1:2	xxoxx : xoxo-
t2	2:3	ooxxx : xooo-
t2	1:2	xxoxx : oxxxo
t2	2:3	xxoxo : xxooo
t2	2:3	oxxxo : xooxo
t1	3:1	ooxo- : xxox-
t1	3:0	oxoo- : xxx--
t2	0:3	xxxx- : ooo--
t1	3:0	ooxo- : xxx--
t1	4:3	xoooo : oxoox
t1	4:2	xoooo : oxox-
t2	2:3	xoxxo : xooxo
t1	3:2	oxoxo : oxoxx
t2	2:4	xxoo- : oooo-
t2	2:3	xooxx : xxooo
t2	3:4	xxoooxx : xooxoxo
t1	3:2	ooxxo : oxoxx
t1	4:0	oooo- : xxx--
t1	1:0	xxxox : xxxxx
t1	3:0	oxoo- : xxx--
t2	3:4	ooxox : oooxo
t1	2:0	xoxxo : xxxx-
t2	4:5	oxxooxox : oxoxoxoo
t1	3:1	xooo- : xoxx-
t2	0:2	xxxx- : xoxo-
t1	3:2	ooxxo : oxoxx
t1	2:0	ooxx- : xxxx-
t1	3:1	ooxxo : xoxx-
t2	0:3	xxxx- : ooo--
t1	3:1	oxoo- : xoxx-
t2	4:5	oooox : ooooo
t2	1:3	xoxx- : ooo--
t2	3:4	oooxxxx : xoooxxo
t1	2:1	xxxoo : xoxxx
t2	1:3	xxox- : oxoo-
t2	1:2	xxxox : xxxoo
t1	4:3	xooxoo : ooxxox
t2	1:3	xxox- : ooxo-
t2	0:3	xxxx- : ooo--
t1	3:1	ooxxo : xoxx-
t2	1:2	xxoxx : ooxx-
t2	0:3	xxxx- : ooo--
t2	0:1	xxxxx : oxxx-
t1	4:1	oooo- : xxo--
t1	4:2	oxooo : xxoo-
t2	2:3	xxoxo : oxoxo
t1	4:2	xoooo : xoxo-
t1	2:1	xxoxxxo : xxxxoxx
t1	2:0	ooxx- : xxxx-
t1	2:1	oxxxo : xoxxx
t1	4:2	oxooo : oxxo-
t1	2:0	xxoo- : xxxx-
t1	3:1	xooo- : xxox-
t1	4:3	oxxooo : xxooox
t1	3:1	xxooo : xoxx-
t1	3:2	xxxooo : oxxoxx
t2	2:3	oxoxx : oxoo-
t1	3:0	ooox- : xxx--
t2	0:2	xxxx- : oxxo-
t2	2:3	xooxx : ooox-
t1	4:3	oxooxo : xoxoox
t1	3:1	oxoo- : oxxx-
t2	1:3	xxox- : ooo--
t1	3:1	oxxoo : oxxx-
t2	1:3	xoxx- : oxoo-
t1	2:0	oxxo- : xxxx-
t1	2:1	xxoxo : xxxox
t1	3:0	xooo- : xxx--
t1	3:1	ooxo- : xoxx-
t2	1:3	xoxx- : xooo-
t1	3:1	xooo- : xoxx-
t2	2:4	oxxo- : oooo-
t2	0:3	xxxx- : ooo--
t1	3:2	xxooxxo : xoxoxxx
t2	0:3	xxxx- : ooo--
t1	4:2	oooo- : ooxx-
t2	0:1	xxxxx : xxox-
t1	3:1	xooxo : oxxx-
t2	0:3	xxxx- : ooo--
t1	2:0	xoxo- : xxxx-
t2	1:3	xxox- : xooo-
t1	2:0	xoxo- : xxxx-
t1	3:1	xooxo : oxxx-
t1	4:0	oooo- : xxx--
t2	0:2	xxxx- : oox--
t1	2:1	oxxxo : xoxxx
t1	3:1	xoxoo : xxxo-
t1	4:1	oooo- : xox--
t2	2:3	xxxoox : oxoxxo
t2	1:3	xxox- : ooxo-
t1	2:0	xxoo- : xxxx-
t1	4:1	oooo- : oxx--
t2	1:3	oxxx- : xooo-
t2	2:4	xxoo- : oooo-
t1	4:2	ooxoo : xxoo-
t1	4:3	oxxoxoxo : xxoxooxx
t1	3:1	xooo- : xxox-
t2	1:3	xxox- : ooo--
t2	2:3	ooxxx : ooox-
t1	4:2	oooxo : ooxx-
t1	3:0	xooo- : xxx--
t2	2:3	oxoxx : xooxo
t2	0:2	xxxx- : xoxo-
t1	2:0	xxoo- : xxxx-
t2	0:2	xxxx- : xxoo-
t2	4:5	xxoooox : ooxxooo
t1	3:1	xxooo : xxxo-
t1	4:3	ooxoxo : ooxxox
t1	4:0	oooo- : xxx--
t2	0:2	xxxx- : oox--
t1	4:0	oooo- : xxx--
t1	3:1	ooox- : xoxx-
t2	1:3	xoxx- : ooxo-
t2	0:3	xxxx- : ooo--
t1	3:1	ooxxo : xxxo-
t2	2:3	ooxxx : ooxo-
t1	3:1	ooxo- : xoxx-
t2	3:4	ooxox : oooo-
t1	3:1	ooox- : oxxx-
t2	1:3	xxxo- : ooxo-
t1	3:1	xooo- : xoxx-
t2	2:3	xoxox : ooxo-
t1	5:4	oooxxoxo : xooxooxx
t2	1:3	xoxx- : xooo-
t2	0:1	xxxxx : xoxx-
t1	4:1	oooo- : xox--
t2	0:3	xxxx- : ooo--
t1	2:0	xoox- : xxxx-
t2	3:4	xxooo : oxooo
t1	3:1	xooxo : oxxx-
t2	1:2	xxoxx : xoox-
t2	1:3	xoxx- : xooo-
t2	0:2	xxxx- : oox--
t2	4:5	xooxxxoox : ooxxxxooo
t2	3:4	ooxox : oooo-
t1	4:3	xxoooo : xoooxx
t2	0:2	xxxx- : xxoo-
t1	3:2	xxxooo : xxooxx
t1	3:2	oxxoo : xoxox
t2	1:2	oxxxx : xoxxo
t2	2:3	xoxxox : xooxxo
t1	2:0	xoxo- : xxxx-
t1	4:2	oxooo : ooxx-
t1	4:0	oooo- : xxx--
t1	3:0	xooo- : xxx--
t1	2:0	ooxx- : xxxx-
t2	1:2	xxxox : xoxxo
t1	4:0	oooo- : xxx--
t1	3:2	oxxoxo : oxxxox
t1	2:0	oxox- : xxxx-
t2	1:2	xxoxx : xxxoo
t2	3:4	ooxxo : oxooo
t1	4:1	oooo- : xxo--
t1	3:1	ooox- : xoxx-
t1	3:1	oxxoo : oxxx-
t1	4:0	oooo- : xxx--
t1	3:0	ooxo- : xxx--
t2	3:4	oxxooxx : oxoxoxo
t2	0:2	xxxx- : oox--
t1	4:3	xxooxxoxo : xoxoxxoxx
t1	4:0	oooo- : xxx--
t2	1:3	xxox- : ooo--
t2	1:2	oxxxx : oxox-
t1	3:1	oxoo- : xxox-
t1	4:0	oooo- : xxx--
t1	4:0	oooo- : xxx--
t1	5:4	ooxxooo : oxoxoox
t1	4:2	xoooo : xoox-
t2	4:5	ooxoox : oooxoo
t1	3:1	xooo- : oxxx-
t2	1:2	xxoxx : xxoo-
t2	2:3	xooxx : xoxoo
t2	0:3	xxxx- : ooo--
t1	4:1	oooo- : xxo--
t1	4:2	oooxo : xxoo-
t2	2:3	ooxxx : ooxo-
t1	5:4	ooxooo : ooooxx
t1	2:0	xoxxo : xxxx-
t2	0:2	xxxx- : xxoo-
t2	3:4	xooxxxxox : ooxxxxxoo
t1	3:1	xooo- : xoxx-
t2	1:3	xxox- : xooo-
t2	1:3	oxxx- : oxoo-
t1	4:2	xoooo : xxoo-
t2	1:3	xxox- : oxoo-
t2	0:1	xxxxx : xoxx-
t1	3:0	xooo- : xxx--
t2	1:2	xxoxx : ooxx-
t1	3:2	xxooxo : xooxxx
t1	2:1	xxxoxo : oxxxxx
t1	2:0	ooxx- : xxxx-
t1	4:0	oooo- : xxx--
t2	0:1	xxxxx : xxxxo
t1	5:4	ooooo : oooox
t2	0:2	xxxx- : oox--
t2	1:3	xoxx- : ooo--
t1	4:1	oooo- : xxo--
t2	1:3	xxox- : ooo--
t1	3:1	oxoo- : xoxx-
t1	3:1	oxxoo : xxox-
t1	3:1	oxxoo : xxox-
t1	3:1	oxoo- : oxxx-
t2	1:3	xxox- : ooo--
t1	4:1	oooo- : xxo--
t1	3:1	oxxoo : oxxx-
t1	4:2	oooxo : xoxo-
t1	4:0	oooo- : xxx--
t1	4:3	xoxxxooo : xxoxxoox
t1	3:1	oxoo- : xoxx-
t1	2:0	ooxx- : xxxx-
t2	3:4	oxoxox : oxooxo
t1	4:2	oooxo : xoox-
t1	3:0	ooox- : xxx--
t1	3:0	xooo- : xxx--
t1	3:0	ooox- : xxx--
t1	2:0	oxox- : xxxx-
t2	2:3	xxoox : xooo-
t1	3:1	oxxoo : xxxo-
t1	3:2	oxxxxoo : xoxxxox
t2	1:3	xoxx- : xooo-
t1	3:0	ooox- : xxx--
t1	4:1	oooo- : xxo--
t1	4:1	oooo- : oxx--
t2	0:2	xxxx- : xoo--
t1	4:0	oooo- : xxx--
t1	2:0	xxoo- : xxxx-
t1	3:0	oxoo- : xxx--
t1	4:0	oooo- : xxx--
t1	3:1	xooxo : xxox-
t1	3:0	ooox- : xxx--
t1	4:0	oooo- : xxx--
t1	3:0	ooxo- : xxx--
t1	3:2	ooxxxxo : oxxoxxx
t1	2:1	xoxox : xxoxx
t1	4:1	oooo- : xox--
t1	4:0	oooo- : xxx--
t2	2:4	oxox- : oooo-
t1	3:0	oxoo- : xxx--
t2	1:3	xoxx- : ooo--
t1	3:1	ooox- : oxxx-
t1	4:2	oxooo : xoox-
t2	3:4	xoxoo : oxooo
t2	2:3	xxoox : ooox-
t1	3:0	ooxo- : xxx--
t1	4:0	oooo- : xxx--
t1	4:3	xoooo : ooxox
t1	4:1	oooo- : xox--
t1	3:0	oxoo- : xxx--
t2	2:4	xxoo- : oooo-
t1	4:0	oooo- : xxx--
t2	2:3	xxoox : oxxoo
t1	4:1	oooo- : xxo--
t1	4:1	oooo- : oxx--
t2	3:4	xoxooxx : xoxooxo
t1	4:2	ooxoo : oxox-
t1	5:4	oooxoo : ooxoox
t1	2:0	oxxxo : xxxx-
t1	3:0	xooo- : xxx--
t2	1:2	xxxox : oxox-
t1	3:2	xooxxxo : oxoxxxx
t1	3:0	ooox- : xxx--
t2	1:3	xxox- : xooo-
t1	3:1	oxoxo : xxox-
t1	4:2	xoooo : xxoo-
t1	2:0	xoox- : xxxx-
t1	3:1	oxxoo : xoxx-
t1	4:2	oxooo : xoox-
t2	1:2	oxxxx : xoox-
t2	4:5	ooxxoox : ooxxooo
t2	1:2	oxxxx : oxxo-
t1	3:1	ooxxo : oxxx-
t1	2:1	xxoxo : xxoxx
t2	1:2	xxxox : xoox-
t1	4:1	oooo- : xxo--
t2	1:2	xxxox : xxxoo
t2	6:7	xooxxoxooox : oxxoxoxoooo
t1	3:1	oxoo- : oxxx-
t1	3:2	oxxoo : oxoxx
t1	2:0	xoox- : xxxx-
t2	2:3	oxxox : oxoo-
t2	2:3	xoxox : xooo-
t1	3:2	xoxxxoo : xxoxxox
t1	2:1	xxoxo : xxxox
t2	1:2	xxoxx : ooxx-
t1	4:2	oxooo : ooxx-
t1	4:3	oooxo : oooxx
t2	2:3	oxoxx : xooxo
t2	4:5	ooxoxox : oooxxoo
t2	2:3	xoxxox : xoxxoo
t2	2:3	xoxxox : ooxxxo
t2	0:2	xxxx- : oxo--
t1	4:3	oooxo : xooox
t1	2:0	xoxxo : xxxx-
t2	2:3	xoxoxx : xxoxoo
t2	2:3	oxxox : oxoo-
t1	3:0	xooo- : xxx--
t1	4:1	oooo- : oxx--
t2	1:2	xxoxx : xoxo-
t1	3:1	xooo- : xoxx-
t1	3:2	oxxoxo : oxoxxx
t2	1:2	oxxxx : oxox-
t1	4:0	oooo- : xxx--
t2	1:3	oxxx- : ooxo-
t2	2:3	ooxxx : oxoo-
t2	0:3	xxxx- : ooo--
t1	4:1	oooo- : xox--
t1	3:1	ooox- : xoxx-
t1	3:1	ooox- : xoxx-
t2	1:3	xxxo- : ooxo-
t2	3:4	xoxoo : ooxoo
t1	1:0	xxxxo : xxxxx
t2	1:2	xxoxx : oxxo-
t1	3:1	ooxxo : xoxx-
t2	1:3	xxxo- : xooo-
t2	0:3	xxxx- : ooo--
t1	4:1	oooo- : oxx--
t2	3:4	xxooo : ooxoo
t1	3:1	xxooo : oxxx-
t1	4:3	oxoxoo : ooxoxx
t1	4:1	oooo- : xox--
t1	3:2	oxoox : oxoxx
t1	2:0	xxoo- : xxxx-
t2	2:3	oxoxx : ooox-
t1	2:1	xoxxo : xxxox
t1	3:2	oxxxoo : xoxxox
t1	2:1	xoxxo : oxxxx
t2	2:3	xoxox : ooxo-
t2	1:3	oxxx- : ooo--
t2	2:4	ooxx- : oooo-
t2	1:3	xxxo- : ooxo-
t1	3:0	oxoo- : xxx--
t2	2:4	xoxo- : oooo-
t2	2:3	xxxoox : xxxooo
t2	0:3	xxxx- : ooo--
t1	3:1	xooo- : oxxx-
t1	3:1	xooo- : oxxx-
t1	3:0	oxoo- : xxx--
t2	3:4	xooxxox : xxooxoo
t2	1:3	xxox- : ooo--
t2	3:4	ooxoxxx : oxxooxo
t2	2:3	oxxxox : xoxoxo
t2	0:2	xxxx- : oxxo-
t1	2:0	xxoo- : xxxx-
t1	3:1	xoxoo : xxxo-
t2	2:3	xxoox : ooxo-
t1	2:0	oxxo- : xxxx-
t1	3:2	xoxoxo : xoxxox
t2	2:3	ooxxx : xooo-
