t2	1:4	oxx-- : oooo-
t1	3:1	xooo- : oxxx-
t2	1:2	xoxxx : xxoxo
t1	4:3	xooxoo : xoooxx
t1	3:1	ooxo- : xxxo-
t1	3:1	oxoxo : xxxo-
t1	4:2	oxooo : oxxo-
t2	4:5	ooxoxoxx : ooxxooxo
t2	0:3	xxx-- : ooo--
t1	3:1	ooo-- : oxxx-
t1	4:3	oooxxo : oxooxx
t1	1:0	xoxxx : xxxxx
t2	3:4	xxooo : ooxoo
t2	3:4	ooxoxx : xoxooo
t1	4:3	xoxxooo : xxxooox
t2	2:3	xooxx : oxoxo
t1	4:3	xoxooo : oxxoox
t2	3:4	xxooox : oxxooo
t1	3:1	ooo-- : oxxx-
t1	3:1	ooxo- : xxxo-
t1	3:1	xxooo : oxxx-
t2	1:4	xxo-- : oooo-
t2	0:2	xxxx- : oxxo-
t2	1:2	xxxox : ooxx-
t2	1:2	xxxxox : xxoxxo
t1	3:1	oxoo- : oxxx-
t1	3:1	oxoo- : xxxo-
t2	1:3	xxox- : ooox-
t2	2:3	xxoox : ooox-
t2	4:5	oxoxoox : oooxxoo
t1	2:1	oxxox : xxxox
t1	3:1	xxooo : oxxx-
t2	0:3	xxx-- : ooo--
t1	5:3	ooooo : ooxo-
t2	4:5	oxooxxoxx : ooxxoxoxo
t1	4:3	ooxxoo : oxxoox
t2	0:3	xxx-- : xooo-
t2	3:4	xooox : oooo-
t1	3:1	xooo- : xxox-
t1	4:3	oooxxxo : xxoooxx
t2	1:4	oxx-- : oooo-
t2	2:3	ooxxx : ooox-
t2	2:3	oxxxo : xxooo
t2	2:3	oxxox : oxoo-
t2	3:4	xooox : ooxoo
t2	2:3	xooxxx : xoxoxo
t2	4:5	oxooox : oooxoo
t1	1:0	oxxxx : xxxxx
t2	2:3	ooxxx : xooxo
t2	4:5	xxoooox : oxoxooo
t2	1:2	xoxxx : xxoo-
t1	3:1	ooo-- : xoxx-
t1	5:4	oxoxooo : ooxxoox
t2	0:3	xxx-- : ooo--
t2	3:4	xoooxx : oxxooo
t2	2:4	oxox- : oooo-
t2	3:4	xooxo : ooxoo
t1	3:1	ooo-- : xoxx-
t1	3:0	ooo-- : xxx--
t1	6:5	xxxoooooxo : xxxoooooxx
t2	2:4	xoox- : oooo-
t2	1:2	xoxxx : ooxx-
t2	2:3	xooxxx : xoxxoo
t2	2:3	xoxox : oxoo-
t1	3:2	oooxx : xooxx
t2	0:3	xxx-- : ooo--
t1	2:0	oxo-- : xxxx-
t1	5:4	oxoooxo : ooooxxx
t1	3:2	xooxo : xxoox
t2	3:4	ooxxxxox : oxxxoxoo
t2	1:2	xxxox : xoox-
t1	4:3	oxooo : xooox
t2	1:4	xox-- : oooo-
t1	3:2	xxoxoo : xooxxx
t1	4:3	oxxxooxo : oxxxooxx
t2	1:3	oxxx- : oxoo-
t2	2:3	ooxxxxx : oxxoxxo
t1	3:0	ooo-- : xxx--
t1	4:2	ooxoo : xoxo-
t2	0:1	xxxxx : xoxx-
t2	1:2	xxoxx : xoxo-
t2	1:4	oxx-- : oooo-
t2	1:2	oxxxx : ooxx-
t2	1:4	xox-- : oooo-
t2	1:4	xox-- : oooo-
t1	4:3	oooxxxo : oxoxoxx
t2	2:3	ooxxx : xooxo
t2	0:2	xxxx- : oxox-
t2	2:3	xxxoo : oxoxo
t2	1:3	xxox- : xooo-
t2	1:4	xxo-- : oooo-
t2	1:2	xxoxx : xxoxo
t1	3:1	xoxoo : xxox-
t1	3:2	oxxoxo : xooxxx
t1	3:1	xooo- : xxxo-
t2	2:3	xoxoxx : xxxooo
t1	3:2	xxooxo : oxoxxx
t2	1:4	xxo-- : oooo-
t1	3:1	xxooo : xxox-
t1	3:1	oxoxo : oxxx-
t2	4:5	ooxoo : ooooo
t1	2:0	oox-- : xxxx-
t2	2:3	oxoxx : xxooo
t1	3:2	ooxxxo : xoxxox
t2	3:4	xooxo : ooxoo
t2	3:4	xoxoox : ooxxoo
t2	0:3	xxx-- : ooo--
t1	2:1	xoxxo : xxxox
t2	4:5	oxooox : xooooo
t1	2:1	xxoox : oxxxx
t2	2:3	xxoxo : xxooo
t1	4:2	oooxo : oxox-
t2	0:2	xxxx- : ooxx-
t2	2:3	oxxox : ooox-
t2	1:2	xoxxx : xxxoo
t2	1:2	xxxxoxx : xxxoxxo
t1	3:1	ooxxo : xoxx-
t1	3:1	oxoo- : xxxo-
t1	4:3	ooxxoxo : oxxooxx
t1	4:3	oxooo : xooox
t1	3:2	oxxoo : ooxxx
t2	2:3	oxoxx : ooxo-
t2	3:4	oxxoxoxx : xxoxooxo
t2	2:4	oxox- : oooo-
t1	4:2	oxooo : xoox-
t2	3:4	ooxox : oxooo
t2	1:3	xxox- : oxoo-
t1	3:1	oxxoo : xxxo-
t1	4:3	oxoxoo : oxxoox
t2	0:3	xxx-- : oxoo-
t2	1:2	xxoxxxx : xxxoxxo
t2	1:2	xxxox : xoox-
t2	0:3	xxx-- : ooo--
t2	1:2	xxoxx : ooxx-
t1	2:1	xxoox : xxxox
t1	3:0	ooo-- : xxx--
t1	3:1	ooxo- : xoxx-
t2	3:4	ooxoxxxx : xooxoxxo
t2	3:4	xxooo : ooxoo
t2	2:3	oxxox : ooxo-
t2	0:3	xxx-- : oxoo-
t1	3:1	ooo-- : xoxx-
t2	1:2	oxxxx : xoxxo
t1	2:0	xxxoo : xxxx-
t1	4:2	oooxo : xoox-
t2	5:6	oxxoooox : ooxxoooo
t2	2:3	xoxox : oxxoo
t1	4:3	xxoxooxo : xooxxoxx
t2	2:3	xxooxx : xxoxoo
t1	4:2	oxooo : xxoo-
