t1	2:1	oxxox : xoxxx
t2	0:1	xxxxx : xxxo-
t2	0:3	xxx-- : ooxo-
t2	0:2	xxxx- : xoxo-
t2	2:3	oxoxx : ooox-
t1	1:0	xoxxx : xxxxx
t2	0:2	xxxx- : xoxo-
t2	1:4	oxx-- : oooo-
t1	1:0	xxxox : xxxxx
t1	2:0	oxxxo : xxxx-
t1	3:1	oxoo- : oxxx-
t2	0:3	xxx-- : xooo-
t1	2:0	oox-- : xxxx-
t1	2:0	xoo-- : xxxx-
t2	0:1	xxxxxx : xxxxxo
t1	3:1	oxoxo : oxxx-
t1	2:0	xxoxo : xxxx-
t2	1:2	oxxxx : oxox-
t1	2:0	oxxo- : xxxx-
t1	3:0	ooo-- : xxx--
t1	1:0	xxxxxxxo : xxxxxxxx
t1	2:0	oxxo- : xxxx-
t1	5:4	xxxxoxxoooxo : oxxxxxxoooxx
t2	0:2	xxxx- : xoxo-
t2	0:1	xxxxx : oxxx-
t2	0:1	xxxxx : xxox-
t1	2:1	xoxxo : xoxxx
t2	0:3	xxx-- : ooo--
t1	3:2	xooox : xxoox
t1	2:0	oxo-- : xxxx-
t2	0:2	xxxx- : ooxx-
t1	3:0	ooo-- : xxx--
t2	1:2	xxxxxoxxx : xxxxxoxxo
t2	1:2	xxoxxx : oxxxxo
t1	2:0	oxxxo : xxxx-
t2	1:2	xxxoxx : xxxoxo
t2	0:3	xxx-- : xooo-
t2	1:4	oxx-- : oooo-
t2	0:3	xxx-- : xooo-
t2	0:1	xxxxx : xoxx-
t2	0:2	xxxx- : xoxo-
t1	3:0	ooo-- : xxx--
t2	0:3	xxx-- : oxoo-
t1	3:1	ooxxo : xoxx-
t2	1:2	xoxxx : xxxoo
t2	0:3	xxx-- : xooo-
t1	1:0	xxxox : xxxxx
t1	3:1	xooo- : oxxx-
t1	2:1	oxxxxo : xxxxox
t2	0:3	xxx-- : oxoo-
t1	3:1	xooo- : xoxx-
t1	3:0	ooo-- : xxx--
t2	0:3	xxx-- : oxoo-
t1	2:0	oox-- : xxxx-
t1	3:1	oxoo- : oxxx-
t1	2:0	xoxxo : xxxx-
t1	2:0	xoo-- : xxxx-
t1	2:0	xxoxo : xxxx-
t2	0:3	xxx-- : oxoo-
t2	2:3	xoxoxx : xoxoxo
t2	0:1	xxxxx : oxxx-
t2	1:2	xxoxx : oxxo-
t2	0:3	xxx-- : oxoo-
t2	1:2	oxxxx : oxxo-
t2	0:3	xxx-- : ooxo-
t1	3:2	oxxoo : xxoox
t1	2:0	oxo-- : xxxx-
t2	0:1	xxxxx : xxxxo
t1	3:0	ooo-- : xxx--
t1	4:3	ooxoxo : xooxox
t1	1:0	xxxxxxo : xxxxxxx
t1	2:0	oxo-- : xxxx-
t2	0:3	xxx-- : oxoo-
t2	0:1	xxxxx : xxox-
t2	1:2	xoxxx : xoxo-
t1	3:1	oxxoo : xoxx-
t1	3:2	xxoxoo : oxxoxx
t1	1:0	xxxxo : xxxxx
t1	2:1	xxxxoo : xxxoxx
t2	0:1	xxxxx : xxxxo
t2	0:1	xxxxx : xxox-
t2	0:3	xxx-- : ooo--
t2	0:1	xxxxxx : xxxxxo
t2	2:3	oxxxox : oxxoxo
t1	2:0	xxxoo : xxxx-
t2	0:1	xxxxx : xoxx-
t1	2:1	xoxxo : xxoxx
t1	4:2	ooxoo : xoox-
t1	2:0	xxxoo : xxxx-
t2	1:2	oxxxx : xxoo-
t2	0:2	xxxx- : xoox-
t2	0:3	xxx-- : oxoo-
t1	2:0	oox-- : xxxx-
t2	1:2	oxxxx : ooxx-
t2	0:1	xxxxx : xxxo-
t2	0:2	xxxx- : oxxo-
t1	2:1	xoxxo : xxxox
t2	0:3	xxx-- : ooxo-
t1	1:0	xxxox : xxxxx
t2	0:1	xxxxx : xoxx-
t1	3:0	ooo-- : xxx--
t1	3:1	ooxo- : oxxx-
t1	2:0	oxo-- : xxxx-
t1	2:0	oox-- : xxxx-
t1	2:1	xxxxxxxoxo : xxxxxxxoxx
t2	1:2	oxxxxxx : xoxxxxo
t1	2:0	oox-- : xxxx-
t1	2:0	xoo-- : xxxx-
t1	2:0	xxoo- : xxxx-
t1	1:0	xxxxo : xxxxx
t2	0:2	xxxx- : oxxo-
t2	1:2	xoxxxx : oxxxxo
t2	1:2	oxxxx : oxox-
t1	3:2	xxxooo : xxxoox
t1	3:0	ooo-- : xxx--
t1	2:1	oxoxx : xoxxx
t2	0:3	xxx-- : oxoo-
t1	2:0	xoo-- : xxxx-
t2	0:2	xxxx- : xxoo-
t2	0:1	xxxxx : oxxx-
t1	3:0	ooo-- : xxx--
t1	3:2	oxxxoo : xoxxox
t2	0:1	xxxxx : xxxo-
t2	1:2	xoxxx : oxox-
t1	2:0	xoo-- : xxxx-
t2	1:2	xoxxx : xoxo-
t1	1:0	xxxox : xxxxx
t1	2:0	xxoxo : xxxx-
t2	0:2	xxxx- : xoox-
t2	0:3	xxx-- : ooo--
t2	0:1	xxxxx : oxxx-
t2	0:2	xxxx- : xxoo-
t1	2:1	oxoxx : xxoxx
t1	1:0	xxxxxo : xxxxxx
t1	3:1	oxoo- : oxxx-
t1	2:0	oox-- : xxxx-
t2	0:1	xxxxx : xxox-
t2	0:2	xxxx- : oxxo-
t1	2:0	oox-- : xxxx-
t2	0:1	xxxxx : xoxx-
t1	2:0	xoo-- : xxxx-
t1	2:0	oxxo- : xxxx-
t2	0:3	xxx-- : ooo--
t1	2:0	oxo-- : xxxx-
t1	2:1	xxxoo : xoxxx
t1	1:0	xxoxx : xxxxx
t2	0:2	xxxx- : xoxo-
t1	3:0	ooo-- : xxx--
t2	0:3	xxx-- : ooo--
t1	2:1	xxxxoxo : xxoxxxx
t2	1:2	xxoxx : xoox-
t1	3:2	oxoox : oxxox
t2	2:3	xooxxx : xooxxo
t1	2:0	xoxo- : xxxx-
t2	1:2	xoxxx : xxoxo
t1	3:1	xooxo : xxox-
t1	2:0	xoxo- : xxxx-
t2	0:1	xxxxx : xxox-
t1	1:0	xoxxx : xxxxx
t2	1:2	xxoxx : xoox-
t2	0:1	xxxxx : xoxx-
t2	0:1	xxxxx : xxox-
t1	2:0	oxo-- : xxxx-
t2	0:2	xxxx- : oxxo-
t1	1:0	xxxxo : xxxxx
t1	2:1	xxoxxo : oxxxxx
t2	0:2	xxxx- : oxxo-
t1	1:0	xxxxo : xxxxx
t1	3:0	ooo-- : xxx--
t1	3:1	oxoo- : xoxx-
t2	1:2	oxxxx : oxxo-
t1	2:0	xoo-- : xxxx-
t2	0:2	xxxx- : ooxx-
t1	1:0	xxoxx : xxxxx
t1	3:0	ooo-- : xxx--
t1	2:1	xxoxxo : xxxoxx
t2	0:1	xxxxx : xoxx-
t2	0:3	xxx-- : ooo--
t1	2:1	xxoxxxo : xxxxoxx
t1	2:0	oxo-- : xxxx-
t2	0:1	xxxxx : xoxx-
t1	3:2	oxoxo : ooxxx
t2	0:1	xxxxx : xxox-
t2	0:2	xxxx- : xoxo-
t1	1:0	xxxxxxo : xxxxxxx
t1	2:0	xoxo- : xxxx-
t2	0:1	xxxxx : xxxo-
t2	0:1	xxxxx : xxxxo
t2	0:3	xxx-- : ooo--
t2	0:1	xxxxx : xoxx-
t1	2:0	xoo-- : xxxx-
t1	2:0	oxxo- : xxxx-
t1	2:0	oxo-- : xxxx-
t2	0:2	xxxx- : ooxx-
t1	1:0	xxxox : xxxxx
t1	2:0	xxxoo : xxxx-
t2	1:2	oxxxx : xxxoo
t2	0:1	xxxxx : oxxx-
t1	2:0	xoo-- : xxxx-
t1	2:0	oxo-- : xxxx-
t2	0:3	xxx-- : ooo--
t1	2:0	oox-- : xxxx-
t1	2:0	oxxo- : xxxx-
t1	2:0	oxo-- : xxxx-
t2	0:1	xxxxx : xxxo-
t1	2:1	oxxxxo : oxxxxx
t1	2:0	oxxxo : xxxx-
t1	2:0	oxxo- : xxxx-
t2	0:1	xxxxx : xxxo-
t2	0:3	xxx-- : oxoo-
t2	0:3	xxx-- : xooo-
t1	2:0	oxxo- : xxxx-
t1	2:0	xoxxo : xxxx-
t1	1:0	xxoxx : xxxxx
t2	0:1	xxxxx : xxxxo
t1	2:1	oxoxx : xxxox
t1	2:0	xxoo- : xxxx-
t1	3:0	ooo-- : xxx--
t1	2:0	xxoo- : xxxx-
t1	3:1	ooxxo : oxxx-
t1	1:0	xxxox : xxxxx
t1	2:1	xoxxxo : oxxxxx
t1	3:1	oxxoo : oxxx-
t2	1:2	xxxoxxxx : xxxxoxxo
t1	2:0	xoo-- : xxxx-
t2	1:2	xoxxxx : xxxoxo
t1	3:1	oxxoo : xoxx-
t1	3:0	ooo-- : xxx--
t2	0:3	xxx-- : ooo--
t2	0:2	xxxx- : xoox-
t1	2:1	xooxx : oxxxx
t1	2:1	xoxxxo : xoxxxx
t2	0:3	xxx-- : ooo--
t2	0:1	xxxxx : xxxo-
t2	1:2	xxxox : xxxoo
t1	1:0	xxxxxxxo : xxxxxxxx
t2	0:3	xxx-- : xooo-
t1	2:0	oxxxo : xxxx-
t1	2:0	xxoxo : xxxx-
t1	3:1	ooxo- : xoxx-
t1	2:0	xxxoo : xxxx-
t2	0:2	xxxx- : xoxo-
t2	0:2	xxxx- : ooxx-
t1	3:1	xooo- : xxox-
t1	3:0	ooo-- : xxx--
t2	1:3	oxxx- : ooox-
t2	0:2	xxxx- : ooxx-
t2	1:2	xxoxx : xxoo-
t2	0:2	xxxx- : xoxo-
