t2	0:2	xxxx- : oxo--
t1	2:0	xxxoo : xxxx-
t2	0:2	xxxx- : oxo--
t2	1:2	xxoxxxx : xxxoxxo
t2	0:1	xxxxx : xxxo-
t2	1:2	xxoxx : xxoxo
t2	1:2	xxxox : xoxxo
t1	2:0	ooxx- : xxxx-
t1	1:0	xxxox : xxxxx
t1	3:2	xoxoxo : xxoxox
t2	0:2	xxxx- : oxo--
t1	1:0	xxxox : xxxxx
t2	2:3	xooxx : xxooo
t1	2:0	xoox- : xxxx-
t1	2:0	ooxx- : xxxx-
t1	2:0	oxxo- : xxxx-
t2	0:1	xxxxx : xxxo-
t2	1:3	oxxx- : ooo--
t2	2:3	xoxxoxx : xoxxoxo
t2	0:2	xxxx- : oox--
t1	2:0	xoxo- : xxxx-
t2	0:2	xxxx- : xxoo-
t2	2:3	xoxxoxx : oxoxxxo
t2	2:3	oxxoxx : oxxoxo
t2	1:2	xxxox : xoxo-
t1	2:1	xoxxo : xxoxx
t1	3:1	ooxxo : xxox-
t2	1:2	xxxxo : xoxxo
t1	3:1	xxooo : xxxo-
t1	3:1	oxoxo : xxox-
t2	1:2	xoxxxx : oxxxxo
t2	0:1	xxxxx : xxxo-
t1	3:0	oxoo- : xxx--
t1	3:0	xooo- : xxx--
t2	1:2	oxxxx : xxoxo
t1	2:0	xoxxo : xxxx-
t1	3:0	xooo- : xxx--
t2	0:1	xxxxx : xxxxo
t2	1:3	xxxo- : xooo-
t2	0:2	xxxx- : oox--
t1	4:0	oooo- : xxx--
t2	1:2	xxxxo : xoxxo
t1	2:0	xoox- : xxxx-
t1	3:2	oxxxxoxo : xxxxooxx
t2	1:2	xoxxx : oxox-
t2	1:3	xxxo- : oxoo-
t1	2:0	xoox- : xxxx-
t1	3:1	ooxo- : oxxx-
t1	2:0	oxxo- : xxxx-
t2	0:1	xxxxx : xoxx-
t1	3:2	xooxo : oxxox
t2	0:1	xxxxxx : xxxxxo
t1	3:0	ooxo- : xxx--
t1	2:0	oxxo- : xxxx-
t2	0:1	xxxxx : xxox-
t1	2:0	oxxo- : xxxx-
t2	1:2	xoxxx : xoox-
t1	2:1	xxoxxxo : xxoxxxx
t1	2:0	oxox- : xxxx-
t1	3:1	xooo- : xoxx-
t2	0:1	xxxxx : xoxx-
t1	2:1	oxxxo : xxxox
t2	1:2	oxxxx : xxxoo
t1	2:1	xxoxxo : xoxxxx
t1	3:1	xooxo : xxox-
t2	0:2	xxxx- : oox--
t1	1:0	xoxxx : xxxxx
t2	0:1	xxxxx : xxxxo
t2	2:3	xoxox : xooo-
t2	1:2	xoxxx : xxxoo
t2	0:1	xxxxx : xxox-
t2	0:1	xxxxx : xxxxo
t2	0:2	xxxx- : xoxo-
t1	2:1	xxxoxxo : xoxxxxx
t2	0:2	xxxx- : xxoo-
t2	1:2	xxoxx : oxox-
t1	2:0	xoxxo : xxxx-
t1	4:3	xooxxoo : ooxxxox
t2	0:2	xxxx- : oxo--
t2	4:5	ooxoxxxxoxxx : xoooxxxxoxxo
t2	1:3	xoxx- : ooo--
t1	2:1	xxoxo : oxxxx
t2	1:3	xoxx- : ooo--
t2	1:3	oxxx- : ooo--
t1	2:0	xoox- : xxxx-
t1	3:1	xooxo : oxxx-
t2	0:2	xxxx- : oxo--
t2	0:3	xxxx- : ooo--
t2	0:2	xxxx- : oox--
t1	2:1	oxxox : oxxxx
t1	2:0	oxox- : xxxx-
t1	3:0	ooox- : xxx--
t1	2:0	xoxo- : xxxx-
t1	2:1	xxxoxxo : oxxxxxx
t2	0:1	xxxxx : oxxx-
t2	0:2	xxxx- : xoo--
t1	2:0	oxox- : xxxx-
t1	2:1	xxoxo : oxxxx
t1	1:0	xxxxxo : xxxxxx
t2	0:2	xxxx- : xoxo-
t1	3:0	ooox- : xxx--
t2	1:2	xxxoxx : xxxoxo
t2	0:1	xxxxx : oxxx-
t2	0:2	xxxx- : xoo--
t1	2:1	oxxxo : xxxox
t2	3:4	oxoox : oxooo
t1	2:0	xxoo- : xxxx-
t1	3:1	xooxo : xxox-
t2	0:1	xxxxxxxxxxx : xxxxxxxxxxo
t2	1:2	xxxxo : oxxxo
t1	2:1	oxxxxo : xxoxxx
t2	0:1	xxxxx : xxox-
t1	2:1	xxxxoxxo : xoxxxxxx
t2	1:3	xoxx- : xooo-
t2	0:1	xxxxx : xxxo-
t2	1:3	xxox- : ooo--
t1	3:2	xxooxxxxxo : ooxxxxxxxx
t1	2:1	xxxoo : xxoxx
t2	0:1	xxxxx : xxxo-
t2	1:2	xxxox : xxoo-
t2	2:3	xooxxx : oxxxoo
t1	3:1	ooox- : xxox-
t1	3:1	xxooo : oxxx-
t1	2:1	xxxoo : oxxxx
t2	0:2	xxxx- : oxo--
t2	0:1	xxxxx : xxox-
t1	3:0	xooo- : xxx--
t2	1:2	xoxxx : xoox-
t1	1:0	xxoxx : xxxxx
t2	1:2	xxxxo : xoxxo
t2	0:2	xxxx- : xxoo-
t2	0:1	xxxxx : oxxx-
t1	2:1	oxoxx : xxoxx
t2	0:1	xxxxx : xxox-
t1	2:0	oxxo- : xxxx-
t2	1:2	xxoxxxx : oxxxxxo
t2	0:1	xxxxx : xxxo-
t1	2:0	ooxx- : xxxx-
t1	3:1	ooxo- : oxxx-
t2	0:1	xxxxx : xxox-
t2	1:2	xxxxo : xxoxo
t1	3:2	ooxox : oxoxx
t2	0:2	xxxx- : oox--
t2	0:1	xxxxx : oxxx-
t2	0:2	xxxx- : oxo--
t2	2:3	xxxxoxox : xxoxxxoo
t1	2:1	xxxoxo : xoxxxx
t1	1:0	xxoxx : xxxxx
t1	3:1	xooo- : xxox-
t1	2:0	xoox- : xxxx-
t1	3:0	oxoo- : xxx--
t1	3:2	xoxxoo : oxxxox
t1	2:0	oxxo- : xxxx-
t1	2:1	xxxoo : xxxox
t2	1:3	oxxx- : ooxo-
t2	1:2	xxoxx : oxxxo
t1	3:1	xooo- : oxxx-
t2	0:1	xxxxxx : xxxxxo
t1	2:1	oxxox : xoxxx
t2	0:3	xxxx- : ooo--
t1	1:0	xxxox : xxxxx
t1	1:0	xxxxxo : xxxxxx
t1	2:0	oxxo- : xxxx-
t2	0:1	xxxxx : xxox-
t1	3:0	ooox- : xxx--
t2	0:2	xxxx- : xoo--
t2	0:2	xxxx- : xoxo-
t1	2:0	oxxxo : xxxx-
t2	0:2	xxxx- : xoxo-
t1	2:0	oxox- : xxxx-
t1	2:1	xoxox : xxoxx
t2	1:2	xxxoxx : xxoxxo
t2	0:2	xxxx- : oxo--
t1	2:1	xxxxxxoxo : xxxxxxoxx
t1	4:1	oooo- : xox--
t1	3:2	oxxoxxxo : xxooxxxx
t2	1:3	oxxx- : xooo-
t1	3:1	oxxoo : oxxx-
t2	1:2	xxxox : xxoxo
t1	4:0	oooo- : xxx--
t1	2:0	xoox- : xxxx-
t2	1:2	xoxxx : xxoo-
t2	3:4	xooxo : oxooo
t1	4:2	xoooo : xoxo-
t1	2:1	xxoxo : xxoxx
t1	3:0	xooo- : xxx--
t1	2:0	oxox- : xxxx-
t1	2:0	oxox- : xxxx-
t1	2:1	oxxxxo : xoxxxx
t2	1:2	xxxoxx : xxoxxo
t2	0:3	xxxx- : ooo--
t2	0:1	xxxxx : xxxo-
t1	4:1	oooo- : xox--
t1	3:2	xxooxo : xoxoxx
t1	4:1	oooo- : oxx--
t1	2:0	xxxoo : xxxx-
t1	1:0	xxxox : xxxxx
t2	0:1	xxxxxxx : xxxxxxo
t2	1:3	xxxo- : xooo-
t1	2:1	xxoxxo : xoxxxx
t1	3:1	ooxo- : oxxx-
t1	3:0	oxoo- : xxx--
t2	0:1	xxxxx : xxox-
t2	1:2	xxxoxxxxxx : xoxxxxxxxo
t2	0:1	xxxxx : xxxo-
t1	2:0	xxoo- : xxxx-
t1	3:0	xooo- : xxx--
t2	1:2	xxoxx : ooxx-
t1	2:1	xxoox : xxoxx
t1	1:0	xxoxx : xxxxx
