0.000000000000000000e+00 5.003999999999999559e-01
1.000000000000000021e-02 5.008000000000000229e-01
2.000000000000000042e-02 5.170000000000000151e-01
2.999999999999999889e-02 5.060000000000000053e-01
4.000000000000000083e-02 5.052999999999999714e-01
5.000000000000000278e-02 5.161999999999999922e-01
5.999999999999999778e-02 5.096000000000000529e-01
7.000000000000000666e-02 5.147000000000000464e-01
8.000000000000000167e-02 5.190000000000000169e-01
8.999999999999999667e-02 5.185999999999999499e-01
1.000000000000000056e-01 5.243999999999999773e-01
1.100000000000000006e-01 5.238000000000000433e-01
1.199999999999999956e-01 5.321000000000000174e-01
1.300000000000000044e-01 5.279000000000000359e-01
1.400000000000000133e-01 5.362000000000000099e-01
1.499999999999999944e-01 5.340000000000000302e-01
